MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
17,2,Hot Price League,Khan,dire,42,WIN,22:38,Kunkka,Riki,Lich,Pangolier,Disruptor
18,1,Hot Price League,Empire Hope,dire,21,WIN,22:36,Legion Commander,Morphling,Undying,Magnus,Puck
18,1,Hot Price League,New Five,radiant,8,LOSE,22:36,Storm Spirit,Anti-Mage,Winter Wyvern,Rubick,Doom
18,2,Hot Price League,Empire Hope,radiant,41,WIN,46:21,Shadow Fiend,Bloodseeker,Disruptor,Winter Wyvern,Puck
18,2,Hot Price League,New Five,dire,31,LOSE,46:21,Lina,Underlord,Slark,Lich,Tiny
19,1,Hot Price League,Khan,dire,40,WIN,39:25,Riki,Legion Commander,Earth Spirit,Magnus,Winter Wyvern
19,1,Hot Price League,Empire Hope,radiant,23,LOSE,39:25,Templar Assassin,Morphling,Dark Willow,Timbersaw,Disruptor
19,2,Hot Price League,Khan,radiant,6,LOSE,21:09,Venomancer,Shadow Shaman,Slark,Winter Wyvern,Tiny
19,2,Hot Price League,Empire Hope,dire,40,WIN,21:09,Nature's Prophet,Bloodseeker,Lich,Disruptor,Timbersaw
20,1,Hot Price League,New Five,dire,27,LOSE,37:25,Underlord,Spirit Breaker,Slark,Lone Druid,Lich
20,1,Hot Price League,Khan,radiant,32,WIN,37:25,Riki,Grimstroke,Pangolier,Templar Assassin,Doom
20,2,Hot Price League,New Five,radiant,12,LOSE,25:43,Medusa,Underlord,Undying,Clinkz,Winter Wyvern
20,2,Hot Price League,Khan,dire,27,WIN,25:43,Anti-Mage,Puck,Tiny,Shadow Fiend,Lich
21,1,Hot Price League,Modus Unity,dire,21,WIN,41:53,Phantom Lancer,Lina,Lich,Omniknight,Rubick
21,1,Hot Price League,Zilant,radiant,14,LOSE,41:53,Gyrocopter,Legion Commander,Phoenix,Shadow Fiend,Treant Protector
21,2,Hot Price League,Modus Unity,radiant,28,WIN,30:28,Beastmaster,Ember Spirit,Lich,Templar Assassin,Disruptor
21,2,Hot Price League,Zilant,dire,20,LOSE,30:28,Faceless Void,Shadow Fiend,Treant Protector,Omniknight,Rubick
22,1,Hot Price League,Zilant,radiant,33,WIN,35:46,Bloodseeker,Shadow Fiend,Treant Protector,Omniknight,Disruptor
22,1,Hot Price League,Majori edut na Minor,dire,23,LOSE,35:46,Necrophos,Beastmaster,Skywrath Mage,Magnus,Lich
22,2,Hot Price League,Zilant,dire,29,WIN,27:49,Morphling,Razor,Rubick,Abaddon,Treant Protector
22,2,Hot Price League,Majori edut na Minor,radiant,9,LOSE,27:49,Leshrac,Nature's Prophet,Chen,Templar Assassin,Doom
23,1,Hot Price League,Zilant,radiant,27,WIN,41:23,Razor,Morphling,Lich,Omniknight,Disruptor
23,1,Hot Price League,CyberDogs,dire,28,LOSE,41:23,Batrider,Ursa,Bane,Shadow Fiend,Tiny
23,2,Hot Price League,Zilant,dire,38,WIN,40:02,Weaver,Winter Wyvern,Earthshaker,Morphling,Treant Protector
23,2,Hot Price League,CyberDogs,radiant,36,LOSE,40:02,Invoker,Pangolier,Io,Ancient Apparition,Tiny
24,1,Hot Price League,Modus Unity,dire,10,LOSE,29:46,Clinkz,Shadow Shaman,Shadow Fiend,Omniknight,Winter Wyvern
24,1,Hot Price League,Majori edut na Minor,radiant,11,WIN,29:46,Underlord,Rubick,Witch Doctor,Morphling,Tiny
24,2,Hot Price League,Modus Unity,radiant,18,LOSE,36:01,Terrorblade,Centaur Warrunner,Puck,Shadow Fiend,Disruptor
24,2,Hot Price League,Majori edut na Minor,dire,34,WIN,36:01,Outworld Devourer,Drow Ranger,Lich,Rubick,Omniknight
25,1,Hot Price League,CyberDogs,dire,18,LOSE,44:39,Naga Siren,Leshrac,Puck,Omniknight,Rubick
25,1,Hot Price League,Modus Unity,radiant,35,WIN,44:39,Night Stalker,Ursa,Winter Wyvern,Shadow Fiend,Disruptor
27,1,Hot Price League,Vikin.gg,radiant,,WIN,20:26,Storm Spirit,Timbersaw,Chen,Rubick,Tiny
27,1,Hot Price League,Nova,dire,,LOSE,20:26,Shadow Fiend,Batrider,Pangolier,Lich,Magnus
28,1,Hot Price League,jfshfh178,radiant,24,WIN,23:44,Puck,Razor,Omniknight,Timbersaw,Rubick
28,1,Hot Price League,Vikin.gg,dire,7,LOSE,23:44,Shadow Fiend,Ursa,Doom,Tiny,Io
28,2,Hot Price League,jfshfh178,dire,31,WIN,29:40,Meepo,Disruptor,Outworld Devourer,Lich,Omniknight
28,2,Hot Price League,Vikin.gg,radiant,16,LOSE,29:40,Leshrac,Beastmaster,Chen,Slark,Rubick
29,1,Hot Price League,Vikin.gg,radiant,20,WIN,20:57,Necrophos,Ursa,Disruptor,Io,Doom
29,1,Hot Price League,Cyberium,dire,6,LOSE,20:57,Shadow Fiend,Lich,Slark,Omniknight,Rubick
29,2,Hot Price League,Vikin.gg,dire,33,WIN,22:16,Meepo,Batrider,Tusk,Shadow Fiend,Lich
29,2,Hot Price League,Cyberium,radiant,11,LOSE,22:16,Disruptor,Abaddon,Templar Assassin,Bristleback,Chen
30,1,Hot Price League,Nova,radiant,23,WIN,24:48,Outworld Devourer,Slark,Dazzle,Beastmaster,Treant Protector
30,1,Hot Price League,jfshfh178,dire,3,LOSE,24:48,Nature's Prophet,Clinkz,Legion Commander,Lich,Tiny
30,2,Hot Price League,Nova,dire,9,LOSE,24:31,Templar Assassin,Slark,Elder Titan,Puck,Disruptor
30,2,Hot Price League,jfshfh178,radiant,41,WIN,24:31,Riki,Outworld Devourer,Mars,Lich,Doom
31,1,Hot Price League,Cyberium,dire,7,LOSE,27:32,Centaur Warrunner,Viper,Bloodseeker,Disruptor,Doom
31,1,Hot Price League,Nova,radiant,21,WIN,27:32,Enchantress,Morphling,Beastmaster,Shadow Fiend,Winter Wyvern
31,2,Hot Price League,Cyberium,radiant,50,WIN,72:13,Centaur Warrunner,Riki,Disruptor,Magnus,Treant Protector
31,2,Hot Price League,Nova,dire,33,LOSE,72:13,Slardar,Vengeful Spirit,Slark,Shadow Fiend,Dazzle
32,1,Hot Price League,Cyberium,dire,47,WIN,47:54,Magnus,Slark,Rubick,Centaur Warrunner,Disruptor
32,1,Hot Price League,jfshfh178,radiant,35,LOSE,47:54,Shadow Fiend,Riki,Mars,Lich,Doom
32,2,Hot Price League,Cyberium,radiant,7,LOSE,26:19,Puck,Shadow Fiend,Chen,Bristleback,Abaddon
32,2,Hot Price League,jfshfh178,dire,29,WIN,26:19,Outworld Devourer,Bloodseeker,Lich,Omniknight,Rubick
33,1,Hot Price League,VAULT,radiant,40,WIN,47:49,Dark Seer,Ember Spirit,Lich,Magnus,Treant Protector
33,1,Hot Price League,Team Blacer,dire,35,LOSE,47:49,Outworld Devourer,Bloodseeker,Winter Wyvern,Rubick,Omniknight
33,2,Hot Price League,VAULT,dire,49,WIN,33:18,Slark,Storm Spirit,Venomancer,Lich,Tiny
33,2,Hot Price League,Team Blacer,radiant,23,LOSE,33:18,Mars,Faceless Void,Tusk,Shadow Fiend,Treant Protector
34,1,Hot Price League,VAULT,radiant,42,LOSE,50:58,Queen of Pain,Faceless Void,Lich,Treant Protector,Omniknight
34,1,Hot Price League,No Creativity,dire,57,WIN,50:58,Invoker,Puck,Leshrac,Witch Doctor,Ursa
34,2,Hot Price League,VAULT,dire,30,LOSE,34:58,Slark,Troll Warlord,Ogre Magi,Winter Wyvern,Puck
34,2,Hot Price League,No Creativity,radiant,38,WIN,34:58,Batrider,Naga Siren,Disruptor,Morphling,Lich
35,1,Hot Price League,Jojo Team,dire,17,LOSE,51:55,Venomancer,Undying,Drow Ranger,Rubick,Magnus
35,1,Hot Price League,VAULT,radiant,34,WIN,51:55,Skywrath Mage,Bloodseeker,Treant Protector,Shadow Fiend,Omniknight
35,2,Hot Price League,Jojo Team,radiant,20,LOSE,34:22,Beastmaster,Slark,Disruptor,Shadow Fiend,Puck
35,2,Hot Price League,VAULT,dire,32,WIN,34:22,Troll Warlord,Templar Assassin,Skywrath Mage,Lich,Omniknight
36,1,Hot Price League,Team Blacer,dire,45,WIN,21:32,Razor,Bloodseeker,Puck,Vengeful Spirit,Doom
36,1,Hot Price League,No Creativity,radiant,9,LOSE,21:32,Invoker,Ursa,Skywrath Mage,Omniknight,Lich
36,2,Hot Price League,Team Blacer,radiant,33,WIN,23:37,Lifestealer,Axe,Skywrath Mage,Shadow Fiend,Winter Wyvern
36,2,Hot Price League,No Creativity,dire,18,LOSE,23:37,Drow Ranger,Puck,Lina,Centaur Warrunner,Lich
37,1,Hot Price League,Jojo Team,dire,45,WIN,34:00,Outworld Devourer,Legion Commander,Grimstroke,Lich,Bloodseeker
37,1,Hot Price League,Team Blacer,radiant,26,LOSE,34:00,Keeper of the Light,Troll Warlord,Disruptor,Shadow Fiend,Omniknight
37,2,Hot Price League,Jojo Team,radiant,42,WIN,46:00,Underlord,Ember Spirit,Slark,Lich,Puck
37,2,Hot Price League,Team Blacer,dire,31,LOSE,46:00,Leshrac,Phantom Lancer,Treant Protector,Sand King,Rubick
38,1,Hot Price League,Empire Hope,radiant,31,WIN,22:43,Nature's Prophet,Morphling,Rubick,Lich,Timbersaw
38,1,Hot Price League,VAULT,dire,11,LOSE,22:43,Storm Spirit,Skywrath Mage,Puck,Slark,Omniknight
38,2,Hot Price League,Empire Hope,dire,33,WIN,22:59,Broodmother,Rubick,Puck,Slark,Lich
38,2,Hot Price League,VAULT,radiant,5,LOSE,22:59,Ogre Magi,Drow Ranger,Skywrath Mage,Outworld Devourer,Omniknight
39,1,Hot Price League,jfshfh178,dire,18,LOSE,31:51,Crystal Maiden,Ursa,Puck,Outworld Devourer,Omniknight
39,1,Hot Price League,Majori edut na Minor,radiant,18,WIN,31:51,Drow Ranger,Underlord,Vengeful Spirit,Shadow Fiend,Disruptor
39,2,Hot Price League,jfshfh178,radiant,15,LOSE,52:39,Morphling,Crystal Maiden,Ember Spirit,Abaddon,Rubick
39,2,Hot Price League,Majori edut na Minor,dire,25,WIN,52:39,Underlord,Necrophos,Tiny,Templar Assassin,Winter Wyvern
40,1,Hot Price League,Zilant,dire,41,WIN,73:56,Underlord,Bloodseeker,Winter Wyvern,Shadow Fiend,Lich
40,1,Hot Price League,Khan,radiant,37,LOSE,73:56,Necrophos,Batrider,Templar Assassin,Abaddon,Disruptor
40,2,Hot Price League,Zilant,radiant,28,WIN,44:22,Templar Assassin,Timbersaw,Razor,Tiny,Lich
40,2,Hot Price League,Khan,dire,17,LOSE,44:22,Drow Ranger,Outworld Devourer,Disruptor,Treant Protector,Omniknight
41,1,Hot Price League,Empire Hope,dire,40,LOSE,47:23,Nature's Prophet,Bloodseeker,Tiny,Magnus,Lich
41,1,Hot Price League,Majori edut na Minor,radiant,39,WIN,47:23,Spectre,Underlord,Shadow Fiend,Doom,Disruptor
41,2,Hot Price League,Empire Hope,radiant,30,WIN,50:19,Razor,Phantom Lancer,Undying,Puck,Timbersaw
41,2,Hot Price League,Majori edut na Minor,dire,26,LOSE,50:19,Slark,Sand King,Rubick,Templar Assassin,Treant Protector
41,3,Hot Price League,Empire Hope,dire,12,LOSE,23:32,Pangolier,Drow Ranger,Shadow Fiend,Abaddon,Doom
41,3,Hot Price League,Majori edut na Minor,radiant,34,WIN,23:32,Chaos Knight,Omniknight,Vengeful Spirit,Rubick,Magnus
42,1,Hot Price League,Khan,radiant,19,WIN,29:09,Viper,Alchemist,Centaur Warrunner,Treant Protector,Disruptor
42,1,Hot Price League,Vikin.gg,dire,10,LOSE,29:09,Lone Druid,Beastmaster,Drow Ranger,Rubick,Chen
