,MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
74,19,2,ESL One Birmingham  2019,Gambit Esports,radiant,14.0,LOSE,27:10,Queen of Pain,Lone Druid,Legion Commander,Tiny,Warlock
75,19,2,ESL One Birmingham  2019,Evil Geniuses,dire,21.0,WIN,27:10,Leshrac,Brewmaster,Lifestealer,Pangolier,Chen
76,20,1,ESL One Birmingham  2019,Gambit Esports,dire,24.0,LOSE,53:32,Shadow Fiend,Troll Warlord,Shadow Demon,Dark Seer,Nyx Assassin
77,20,1,ESL One Birmingham  2019,Team Secret,radiant,33.0,WIN,53:32,Arc Warden,Pangolier,Sven,Tiny,Lion
78,20,2,ESL One Birmingham  2019,Gambit Esports,dire,5.0,LOSE,27:16,Necrophos,Rubick,Wraith King,Pangolier,Warlock
79,20,2,ESL One Birmingham  2019,Team Secret,radiant,28.0,WIN,27:16,Tidehunter,Sven,Lion,Ember Spirit,Enigma
80,21,1,ESL One Birmingham  2019,Alliance,dire,38.0,LOSE,45:58,Tusk,Juggernaut,Disruptor,Morphling,Sand King
81,21,1,ESL One Birmingham  2019,Keen Gaming,radiant,42.0,WIN,45:58,Troll Warlord,Drow Ranger,Dark Willow,Mars,Rubick
82,21,2,ESL One Birmingham  2019,Alliance,dire,11.0,LOSE,27:49,Lina,Bristleback,Keeper of the Light,Troll Warlord,Earthshaker
83,21,2,ESL One Birmingham  2019,Keen Gaming,radiant,32.0,WIN,27:49,Viper,Juggernaut,Grimstroke,Sand King,Nature's Prophet
84,22,1,ESL One Birmingham  2019,Alliance,dire,48.0,WIN,41:38,Queen of Pain,Ancient Apparition,Sven,Batrider,Earth Spirit
85,22,1,ESL One Birmingham  2019,PSG.LGD,radiant,20.0,LOSE,41:38,Invoker,Shadow Demon,Lifestealer,Grimstroke,Pangolier
86,22,2,ESL One Birmingham  2019,Alliance,radiant,43.0,WIN,41:57,Lina,Sven,Rubick,Mars,Dark Willow
87,22,2,ESL One Birmingham  2019,PSG.LGD,dire,16.0,LOSE,41:57,Bloodseeker,Outworld Devourer,Disruptor,Sand King,Io
88,23,1,ESL One Birmingham  2019,Alliance,radiant,32.0,LOSE,45:06,Slark,Grimstroke,Juggernaut,Batrider,Earth Spirit
89,23,1,ESL One Birmingham  2019,Evil Geniuses,dire,36.0,WIN,45:06,Queen of Pain,Alchemist,Omniknight,Nyx Assassin,Warlock
90,23,2,ESL One Birmingham  2019,Alliance,radiant,29.0,LOSE,35:14,Ember Spirit,Wraith King,Grimstroke,Nature's Prophet,Earth Spirit
91,23,2,ESL One Birmingham  2019,Evil Geniuses,dire,46.0,WIN,35:14,Bristleback,Bloodseeker,Sand King,Shadow Shaman,Abaddon
92,24,1,ESL One Birmingham  2019,Alliance,radiant,35.0,LOSE,85:00,Tidehunter,Lina,Dark Willow,Ancient Apparition,Sven
